gene	chrom	strand	cds_start0	cds_end	cds_span	cds_len	tx_len
YAL025C	chrI	-	100224	101145	921	921	1224.0
YAL024C	chrI	-	101564	105872	4308	4308	4558.0
YAL023C	chrI	-	106271	108551	2280	2280	2526.0
YAL022C	chrI	-	108876	110430	1554	1554	1612.0
YAL021C	chrI	-	110845	113359	2514	2514	2815.0
YAL020C	chrI	-	113613	114615	1002	1002	1083.0
YAL019W	chrI	+	114918	118314	3396	3396	3570.0
YAL018C	chrI	-	118563	119541	978	978	1228.0
YAL017W	chrI	+	120224	124295	4071	4071	4622.0
YAL016W	chrI	+	124878	126786	1908	1908	2054.0
YAL015C	chrI	-	126902	128102	1200	1200	1326.0
YAL014C	chrI	-	128251	129019	768	768	978.0
YAL013W	chrI	+	129269	130487	1218	1218	1348.0
YAL012W	chrI	+	130798	131983	1185	1185	1382.0
YAL011W	chrI	+	132198	134076	1878	1878	1989.0
YAL010C	chrI	-	134183	135665	1482	1482	1628.0
YAL009W	chrI	+	135853	136633	780	780	928.0
YAL008W	chrI	+	136913	137510	597	597	769.0
YAL007C	chrI	-	137697	138345	648	648	922.0
YAL005C	chrI	-	139502	141431	1929	1929	2137.0
YAL003W	chrI	+	142173	143160	987	621	927.0
YAL002W	chrI	+	143706	147531	3825	3825	4057.0
YAL001C	chrI	-	147593	151166	3573	3483	3600.0
YAR002W	chrI	+	152256	153876	1620	1620	1756.0
YAR002C-A	chrI	-	154064	154724	660	660	806.0
YAR003W	chrI	+	155004	156285	1281	1281	1939.0
YAR007C	chrI	-	156753	158619	1866	1866	2018.0
YAR008W	chrI	+	158965	159793	828	828	1031.0
YAR014C	chrI	-	166741	168871	2130	2130	2487.0
YAR015W	chrI	+	169374	170295	921	921	1190.0
YAR018C	chrI	-	170395	171703	1308	1308	1557.0
YAR019C	chrI	-	172210	175135	2925	2925	2982.0
YAR020C	chrI	-	176855	177023	168	168	418.0
YAR023C	chrI	-	179280	179820	540	540	790.0
YAR027W	chrI	+	183769	184477	708	708	970.0
YAR028W	chrI	+	184891	185596	705	705	942.0
YAR029W	chrI	+	186320	186545	225	225	475.0
YAR031W	chrI	+	186835	187732	897	897	936.0
YAR033W	chrI	+	188106	188811	705	705	859.0
YAR035W	chrI	+	190192	192256	2064	2064	2314.0
YAR035C-A	chrI	-	192336	192417	81	81	331.0
YAR042W	chrI	+	192618	196185	3567	3567	3774.0
YAR050W	chrI	+	203402	208016	4614	4614	4864.0
YAR064W	chrI	+	220197	220497	300	300	550.0
YAR066W	chrI	+	221048	221660	612	612	862.0
YAR068W	chrI	+	222405	222891	486	486	736.0
YAR071W	chrI	+	225459	226863	1404	1404	1499.0
YBL113C	chrII	-	279	2658	2379	2379	2629.0
YBL112C	chrII	-	2581	2899	318	318	568.0
YBL111C	chrII	-	2906	5009	2103	2004	1153.0
YBL108C-A	chrII	-	7604	7733	129	129	379.0
YBL107C	chrII	-	9960	10551	591	591	720.0
YBL106C	chrII	-	10846	13879	3033	3033	3114.0
YBL105C	chrII	-	14240	17696	3456	3456	3862.0
YBL104C	chrII	-	18176	21293	3117	3117	3225.0
YBL103C	chrII	-	22075	23536	1461	1461	2164.0
YBL102W	chrII	+	24097	24745	648	648	947.0
YBL101C	chrII	-	24945	28299	3354	3354	3817.0
YBL100W-C	chrII	+	28426	28546	120	120	370.0
YBL099W	chrII	+	37052	38690	1638	1638	2255.0
YBL098W	chrII	+	39144	40527	1383	1383	1530.0
YBL097W	chrII	+	40830	43095	2265	2265	2579.0
YBL095W	chrII	+	43276	44089	813	813	947.0
YBL093C	chrII	-	44255	44918	663	663	993.0
YBL092W	chrII	+	45977	46370	393	393	905.0
YBL091C-A	chrII	-	46564	47180	616	528	673.0
YBL091C	chrII	-	47362	48628	1266	1266	1423.0
YBL090W	chrII	+	48824	49358	534	534	684.0
YBL089W	chrII	+	49573	50953	1380	1380	1463.0
YBL088C	chrII	-	51018	59382	8364	8364	8449.0
YBL087C	chrII	-	59821	60739	918	414	597.0
YBL086C	chrII	-	61201	62602	1401	1401	1557.0
YBL085W	chrII	+	63875	66818	2943	2943	3245.0
YBL084C	chrII	-	67168	69445	2277	2277	2529.0
YBL082C	chrII	-	69750	71127	1377	1377	1502.0
YBL081W	chrII	+	71865	72972	1107	1107	1557.0
YBL080C	chrII	-	73069	74695	1626	1626	1778.0
YBL079W	chrII	+	75258	79767	4509	4509	4717.0
YBL078C	chrII	-	80377	80731	354	354	861.0
YBL076C	chrII	-	81042	84261	3219	3219	3361.0
YBL075C	chrII	-	84498	86448	1950	1950	2200.0
YBL074C	chrII	-	86721	87789	1068	1068	1318.0
YBL072C	chrII	-	88522	89125	603	603	1050.0
YBL071C-B	chrII	-	89457	89556	99	99	301.0
YBL071W-A	chrII	+	89977	90226	249	249	726.0
YBL071C	chrII	-	90222	90531	309	309	559.0
YBL069W	chrII	+	90740	92030	1290	1290	1507.0
YBL068W	chrII	+	92413	93394	981	981	1285.0
YBL067C	chrII	-	93638	95882	2244	2244	2647.0
YBL066C	chrII	-	96668	100115	3447	3447	3829.0
YBL064C	chrII	-	100370	101156	786	786	926.0
YBL063W	chrII	+	101885	105221	3336	3336	3482.0
YBL061C	chrII	-	105315	107406	2091	2091	2294.0
YBL060W	chrII	+	107931	109995	2064	2064	2355.0
YBL059C-A	chrII	-	110124	110539	415	330	605.0
YBL059W	chrII	+	110593	111244	651	582	528.0
YBL058W	chrII	+	111436	112708	1272	1272	1417.0
YBL057C	chrII	-	112800	113427	627	627	720.0
YBL056W	chrII	+	113761	115168	1407	1407	1926.0
YBL055C	chrII	-	115572	116829	1257	1257	1912.0
YBL054W	chrII	+	117588	119166	1578	1578	2003.0
YBL052C	chrII	-	119378	121874	2496	2496	2840.0
YBL051C	chrII	-	122752	124759	2007	2007	2517.0
YBL050W	chrII	+	125124	126119	995	879	1018.0
YBL049W	chrII	+	126827	127244	417	417	667.0
YBL048W	chrII	+	127298	127610	312	312	562.0
YBL047C	chrII	-	127894	132040	4146	4146	4576.0
YBL046W	chrII	+	132423	133749	1326	1326	1536.0
YBL045C	chrII	-	134142	135516	1374	1374	1863.0
YBL044W	chrII	+	135997	136366	369	369	619.0
YBL043W	chrII	+	136687	137461	774	774	1024.0
YBL042C	chrII	-	138340	140260	1920	1920	2200.0
YBL041W	chrII	+	141246	141972	726	726	918.0
YBL040C	chrII	-	142111	142868	757	660	876.0
YBL039W-B	chrII	+	143392	143572	180	180	600.0
YBL039C	chrII	-	143988	145728	1740	1740	2012.0
YBL038W	chrII	+	146186	146885	699	699	854.0
YBL037W	chrII	+	147208	150286	3078	3078	3295.0
YBL036C	chrII	-	150446	151220	774	774	962.0
YBL035C	chrII	-	151492	153610	2118	2118	2293.0
YBL034C	chrII	-	153847	158389	4542	4542	4776.0
YBL033C	chrII	-	158655	159693	1038	1038	1137.0
YBL032W	chrII	+	160183	161329	1146	1146	1442.0
YBL031W	chrII	+	161698	162715	1017	1017	1198.0
YBL030C	chrII	-	163040	163997	957	957	1383.0
YBL029C-A	chrII	-	164487	164772	285	285	510.0
YBL029W	chrII	+	166133	167264	1131	1131	1381.0
YBL028C	chrII	-	167517	167838	321	321	631.0
YBL027W	chrII	+	168422	169376	954	570	685.0
YBL026W	chrII	+	170622	171038	416	288	647.0
YBL025W	chrII	+	171480	171918	438	438	967.0
YBL024W	chrII	+	172533	174588	2055	2055	2399.0
YBL023C	chrII	-	174919	177526	2607	2607	2878.0
YBL022C	chrII	-	177873	181275	3402	3402	3595.0
YBL021C	chrII	-	181659	182094	435	435	646.0
YBL020W	chrII	+	182400	184125	1725	1725	1870.0
YBL019W	chrII	+	184352	185915	1563	1563	1707.0
YBL018C	chrII	-	185997	186474	477	402	569.0
YBL017C	chrII	-	186843	191583	4740	4740	4984.0
YBL016W	chrII	+	192450	193512	1062	1062	1279.0
YBL015W	chrII	+	194121	195702	1581	1581	1956.0
YBL014C	chrII	-	199063	201748	2685	2685	2847.0
YBL013W	chrII	+	202055	203261	1206	1206	1456.0
YBL011W	chrII	+	203537	205817	2280	2280	2714.0
YBL010C	chrII	-	206106	206949	843	843	1056.0
YBL009W	chrII	+	207193	209224	2031	2031	2210.0
YBL008W-A	chrII	+	209408	209648	240	240	324.0
YBL008W	chrII	+	209652	212175	2523	2523	2649.0
YBL007C	chrII	-	212631	216366	3735	3735	3952.0
YBL006C	chrII	-	216586	217129	543	543	780.0
YBL005W	chrII	+	217469	220400	2931	2931	3268.0
YBL004W	chrII	+	227635	235117	7482	7482	7697.0
YBL003C	chrII	-	235393	235792	399	399	626.0
YBL002W	chrII	+	236491	236887	396	396	772.0
YBL001C	chrII	-	237152	237467	315	315	658.0
YBR001C	chrII	-	238940	241283	2343	2343	2660.0
YBR002C	chrII	-	241707	242568	861	861	1133.0
YBR003W	chrII	+	242808	244230	1422	1422	1586.0
YBR004C	chrII	-	244365	245667	1302	1302	1416.0
YBR005W	chrII	+	245905	246547	642	642	915.0
YBR006W	chrII	+	247009	248503	1494	1494	1767.0
YBR007C	chrII	-	248805	251016	2211	2211	2304.0
YBR008C	chrII	-	252562	254209	1647	1647	2521.0
YBR009C	chrII	-	255372	255684	312	312	512.0
YBR010W	chrII	+	256330	256741	411	411	600.0
YBR011C	chrII	-	257111	257975	864	864	1007.0
YBR013C	chrII	-	265491	265881	390	390	680.0
YBR014C	chrII	-	266724	267336	612	612	888.0
YBR015C	chrII	-	267709	269503	1794	1794	2064.0
YBR016W	chrII	+	270246	270633	387	387	643.0
YBR017C	chrII	-	270946	273703	2757	2757	3036.0
YBR018C	chrII	-	274426	275527	1101	1101	1351.0
YBR021W	chrII	+	281442	283344	1902	1902	2201.0
YBR022W	chrII	+	283737	284271	534	534	775.0
YBR023C	chrII	-	284427	287925	3498	3498	3844.0
YBR024W	chrII	+	289444	290350	906	906	1239.0
YBR025C	chrII	-	290680	291865	1185	1185	1524.0
YBR026C	chrII	-	292876	294019	1143	1143	1327.0
YBR027C	chrII	-	294023	294356	333	333	583.0
YBR028C	chrII	-	294424	296002	1578	1578	1854.0
YBR029C	chrII	-	296368	297742	1374	1374	1625.0
YBR030W	chrII	+	298291	299950	1659	1659	1990.0
YBR031W	chrII	+	300165	301254	1089	1089	1198.0
YBR032W	chrII	+	301518	301821	303	303	553.0
YBR033W	chrII	+	301943	304703	2760	2760	3010.0
YBR034C	chrII	-	304929	305976	1047	1047	1295.0
YBR035C	chrII	-	306268	306955	687	687	852.0
YBR036C	chrII	-	309080	310313	1233	1233	1475.0
YBR037C	chrII	-	310564	311452	888	888	1007.0
YBR038W	chrII	+	311897	314789	2892	2892	3199.0
YBR039W	chrII	+	315574	316510	936	936	1205.0
YBR040W	chrII	+	316967	317864	897	897	1147.0
YBR041W	chrII	+	318265	320275	2010	2010	2243.0
YBR042C	chrII	-	320415	321609	1194	1194	1330.0
YBR043C	chrII	-	321875	323945	2070	2070	2356.0
YBR044C	chrII	-	324340	326059	1719	1719	1878.0
YBR045C	chrII	-	328172	330092	1920	1920	2170.0
YBR046C	chrII	-	330506	331511	1005	1005	1349.0
YBR047W	chrII	+	331832	332360	528	528	685.0
YBR048W	chrII	+	332830	333812	982	471	728.0
YBR049C	chrII	-	334385	336818	2433	2433	2801.0
YBR050C	chrII	-	337182	338199	1017	1017	1267.0
YBR052C	chrII	-	338719	339352	633	633	751.0
YBR053C	chrII	-	339674	340751	1077	1077	1241.0
YBR054W	chrII	+	343100	344135	1035	1035	1825.0
YBR055C	chrII	-	344601	347301	2700	2700	2846.0
YBR056W	chrII	+	347878	349384	1506	1506	1671.0
YBR056W-A	chrII	+	351254	351455	201	201	679.0
YBR057C	chrII	-	352192	353293	1101	1101	1330.0
YBR058C	chrII	-	353671	356017	2346	2346	2551.0
YBR058C-A	chrII	-	356323	356566	243	243	493.0
YBR059C	chrII	-	356860	360187	3327	3327	3570.0
YBR060C	chrII	-	360651	362514	1863	1863	2009.0
YBR061C	chrII	-	364786	365719	933	933	1121.0
YBR062C	chrII	-	365975	366600	625	543	657.0
YBR063C	chrII	-	366969	368184	1215	1215	1465.0
YBR065C	chrII	-	368583	369678	1095	1095	1398.0
YBR066C	chrII	-	370036	370699	663	663	800.0
YBR067C	chrII	-	372102	372735	633	633	811.0
YBR068C	chrII	-	373860	375690	1830	1830	2119.0
YBR069C	chrII	-	376573	378433	1860	1860	2109.0
YBR070C	chrII	-	379220	379934	714	714	778.0
YBR071W	chrII	+	380410	381046	636	636	965.0
YBR072W	chrII	+	382029	382674	645	645	895.0
YBR072C-A	chrII	-	382859	383021	162	162	412.0
YBR073W	chrII	+	383111	385988	2877	2877	2979.0
YBR074W	chrII	+	386285	389216	2931	2931	3059.0
YBR076W	chrII	+	390226	391291	1065	1065	1315.0
YBR077C	chrII	-	391804	392293	489	489	1141.0
YBR078W	chrII	+	393122	394742	1620	1290	1954.0
YBR079C	chrII	-	395382	398277	2895	2895	3009.0
YBR080C	chrII	-	398613	400890	2277	2277	2476.0
YBR081C	chrII	-	401252	405251	3999	3999	4259.0
YBR082C	chrII	-	406627	407169	542	447	752.0
YBR083W	chrII	+	409168	410629	1461	1461	1662.0
YBR084W	chrII	+	411053	413981	2928	2928	3210.0
YBR084C-A	chrII	-	414185	415261	1076	570	709.0
YBR085W	chrII	+	415982	416906	924	924	1190.0
YBR085C-A	chrII	-	418906	419164	258	258	737.0
YBR086C	chrII	-	420200	423041	2841	2841	3267.0
YBR087W	chrII	+	423764	424829	1065	1065	1218.0
YBR088C	chrII	-	424989	425766	777	777	949.0
YBR089C-A	chrII	-	426189	426489	300	300	502.0
YBR090C	chrII	-	426332	427058	726	369	539.0
YBR091C	chrII	-	427154	427484	330	330	469.0
YBR092C	chrII	-	427697	429101	1404	1404	1540.0
YBR093C	chrII	-	429547	430951	1404	1404	1732.0
YBR094W	chrII	+	432035	434297	2262	2262	2423.0
YBR095C	chrII	-	434405	435698	1293	1293	1425.0
YBR096W	chrII	+	436020	436713	693	693	843.0
YBR097W	chrII	+	436950	441315	4365	4365	4487.0
YBR098W	chrII	+	441514	443590	2076	2076	2232.0
YBR101C	chrII	-	443820	444693	873	873	1768.0
YBR102C	chrII	-	445061	447323	2262	2262	2515.0
YBR103W	chrII	+	447708	449316	1608	1608	1822.0
YBR104W	chrII	+	449666	450656	990	990	1211.0
YBR105C	chrII	-	450880	451969	1089	1089	1352.0
YBR106W	chrII	+	452657	453224	567	567	782.0
YBR107C	chrII	-	453792	454530	738	738	1363.0
YBR108W	chrII	+	454821	457665	2844	2844	3075.0
YBR109C	chrII	-	457918	458362	444	444	715.0
YBR110W	chrII	+	458871	460221	1350	1350	1600.0
YBR111C	chrII	-	461177	461873	696	696	794.0
YBR111W-A	chrII	+	462138	462579	441	291	491.0
YBR112C	chrII	-	462869	465770	2901	2901	3360.0
YBR114W	chrII	+	467247	469620	2373	2373	2561.0
YBR115C	chrII	-	469747	473926	4179	4179	4424.0
YBR117C	chrII	-	474391	476437	2046	2046	2296.0
YBR118W	chrII	+	477670	479047	1377	1377	1486.0
YBR119W	chrII	+	479337	480323	986	897	1081.0
YBR120C	chrII	-	480434	480923	489	489	625.0
YBR121C	chrII	-	481363	483367	2004	2004	2307.0
YBR122C	chrII	-	483969	484503	534	534	763.0
YBR123C	chrII	-	484741	486691	1950	1950	2086.0
YBR125C	chrII	-	487198	488380	1182	1182	1622.0
YBR126C	chrII	-	488904	490392	1488	1488	1726.0
YBR126W-A	chrII	+	490849	491056	207	207	378.0
YBR127C	chrII	-	491268	492822	1554	1554	1800.0
YBR128C	chrII	-	493080	494115	1035	1035	1285.0
YBR129C	chrII	-	494352	495339	987	987	1156.0
YBR130C	chrII	-	495591	496869	1278	1278	1460.0
YBR131W	chrII	+	497162	499277	2115	2115	2234.0
YBR132C	chrII	-	499651	501442	1791	1791	2041.0
YBR133C	chrII	-	501803	504287	2484	2484	2913.0
YBR135W	chrII	+	504853	505306	453	453	740.0
YBR136W	chrII	+	505667	512774	7107	7107	7302.0
YBR137W	chrII	+	513043	513583	540	540	737.0
YBR138C	chrII	-	513761	515336	1575	1575	1767.0
YBR139W	chrII	+	515663	517190	1527	1527	1728.0
YBR140C	chrII	-	517349	526628	9279	9279	9391.0
YBR141C	chrII	-	527024	528038	1014	1014	1192.0
YBR142W	chrII	+	528316	530638	2322	2322	2601.0
YBR143C	chrII	-	530868	532182	1314	1314	1661.0
YBR144C	chrII	-	533234	533549	315	315	565.0
YBR145W	chrII	+	533761	534817	1056	1056	1195.0
YBR146W	chrII	+	535259	536096	837	837	1117.0
YBR147W	chrII	+	536574	537465	891	891	1141.0
YBR148W	chrII	+	537875	539705	1830	1830	2080.0
YBR149W	chrII	+	539986	541021	1035	1035	1291.0
YBR150C	chrII	-	541208	544493	3285	3285	3370.0
YBR151W	chrII	+	545027	545978	951	951	1325.0
YBR152W	chrII	+	546375	547251	876	876	1126.0
YBR153W	chrII	+	547459	548194	735	735	1026.0
YBR154C	chrII	-	548361	549009	648	648	867.0
YBR155W	chrII	+	549770	550928	1158	1158	1390.0
YBR156C	chrII	-	551103	553200	2097	2097	2329.0
YBR157C	chrII	-	553542	554310	768	768	914.0
YBR158W	chrII	+	556548	558198	1650	1650	2047.0
YBR159W	chrII	+	558684	559728	1044	1044	1251.0
YBR160W	chrII	+	560077	560974	897	897	1127.0
YBR161W	chrII	+	561633	562764	1131	1131	1403.0
YBR162C	chrII	-	563202	564570	1368	1368	1955.0
YBR162W-A	chrII	+	565230	565428	198	198	542.0
YBR163W	chrII	+	565722	567480	1758	1758	1926.0
YBR164C	chrII	-	567874	568426	552	552	945.0
YBR165W	chrII	+	568851	569685	834	834	1067.0
YBR166C	chrII	-	569841	571200	1359	1359	1514.0
YBR167C	chrII	-	571467	571890	423	423	569.0
YBR168W	chrII	+	572370	573612	1242	1242	1434.0
YBR169C	chrII	-	573914	575996	2082	2082	2281.0
YBR170C	chrII	-	576343	578086	1743	1743	2081.0
YBR171W	chrII	+	578363	578984	621	621	784.0
YBR172C	chrII	-	579149	581372	2223	2223	2436.0
YBR173C	chrII	-	581725	582172	447	447	650.0
YBR175W	chrII	+	582407	583355	948	948	1109.0
YBR176W	chrII	+	583719	584658	939	939	1200.0
YBR177C	chrII	-	584806	586162	1356	1356	1628.0
YBR179C	chrII	-	586546	589114	2568	2568	2676.0
YBR180W	chrII	+	589740	591459	1719	1719	1969.0
YBR181C	chrII	-	591711	592774	1063	711	818.0
YBR182C	chrII	-	593505	594864	1359	1359	1715.0
YBR182C-A	chrII	-	595360	595555	195	195	445.0
YBR183W	chrII	+	596114	597065	951	951	1201.0
YBR184W	chrII	+	597362	598934	1572	1572	1822.0
YBR185C	chrII	-	599122	599959	837	837	957.0
YBR186W	chrII	+	600552	602360	1808	1695	1945.0
YBR187W	chrII	+	602633	603476	843	843	1136.0
YBR188C	chrII	-	603684	604107	423	423	702.0
YBR189W	chrII	+	604507	605508	1001	588	681.0
YBR191W	chrII	+	606269	607140	871	483	648.0
YBR192W	chrII	+	607651	608785	1134	1134	1612.0
YBR193C	chrII	-	609081	609753	672	672	1151.0
YBR194W	chrII	+	610037	610409	372	372	527.0
YBR195C	chrII	-	610613	611882	1269	1269	1413.0
YBR196C	chrII	-	612235	613900	1665	1665	1871.0
YBR196C-A	chrII	-	614023	614173	150	150	400.0
YBR196C-B	chrII	-	614525	614630	105	105	355.0
YBR197C	chrII	-	615202	615856	654	654	1131.0
YBR198C	chrII	-	616126	618523	2397	2397	2566.0
YBR199W	chrII	+	618908	620303	1395	1395	1664.0
YBR200W	chrII	+	620871	622527	1656	1656	1960.0
YBR200W-A	chrII	+	622982	623147	165	165	415.0
YBR201W	chrII	+	623575	624211	636	636	896.0
YBR201C-A	chrII	-	624492	624696	204	204	453.0
YBR202W	chrII	+	625771	628309	2538	2538	2768.0
YBR203W	chrII	+	629167	631942	2775	2775	3025.0
YBR204C	chrII	-	632253	633381	1128	1128	1459.0
YBR205W	chrII	+	633621	634836	1215	1215	1461.0
YBR207W	chrII	+	635145	636543	1398	1398	1597.0
YBR208C	chrII	-	636702	642210	5508	5508	3368.0
YBR209W	chrII	+	642582	642900	318	318	568.0
YBR210W	chrII	+	645549	645978	429	429	817.0
YBR211C	chrII	-	646157	647132	975	975	1220.0
YBR212W	chrII	+	647885	649904	2019	2019	2673.0
YBR213W	chrII	+	650367	651192	825	825	1091.0
YBR214W	chrII	+	651414	652998	1584	1584	1895.0
YBR215W	chrII	+	653355	655317	1962	1878	2070.0
YBR216C	chrII	-	655575	657600	2025	2025	2328.0
YBR217W	chrII	+	657831	658392	561	561	917.0
YBR218C	chrII	-	658706	662249	3543	3543	3970.0
YBR219C	chrII	-	662498	663303	805	384	634.0
YBR220C	chrII	-	662994	664677	1683	1683	2001.0
YBR221C	chrII	-	665152	666253	1101	1101	1575.0
YBR221W-A	chrII	+	666537	666642	105	105	355.0
YBR222C	chrII	-	666719	668351	1632	1632	1788.0
YBR223C	chrII	-	668662	670297	1635	1635	1900.0
YBR225W	chrII	+	670626	673329	2703	2703	3087.0
YBR227C	chrII	-	673571	675134	1563	1563	1746.0
YBR228W	chrII	+	675312	676227	915	915	1028.0
YBR229C	chrII	-	676356	679221	2865	2865	3020.0
YBR230C	chrII	-	679548	680050	502	405	615.0
YBR230W-A	chrII	+	680361	680562	201	201	385.0
YBR231C	chrII	-	682178	683090	912	912	1008.0
YBR233W	chrII	+	683427	684669	1242	1242	1521.0
YBR233W-A	chrII	+	684976	685261	285	285	522.0
YBR234C	chrII	-	685437	686592	1155	1155	1267.0
YBR235W	chrII	+	686900	690263	3363	3363	3541.0
YBR236C	chrII	-	690382	691693	1311	1311	1500.0
YBR237W	chrII	+	691968	694518	2550	2550	2687.0
YBR238C	chrII	-	695106	697302	2196	2196	2764.0
YBR239C	chrII	-	698353	699943	1590	1590	1828.0
YBR240C	chrII	-	700489	701842	1353	1353	1603.0
YBR241C	chrII	-	702588	704055	1467	1467	1524.0
YBR242W	chrII	+	704669	705386	717	717	961.0
YBR243C	chrII	-	705446	706793	1347	1347	1582.0
YBR244W	chrII	+	707527	708016	489	489	755.0
YBR245C	chrII	-	708149	711539	3390	3390	3360.0
YBR246W	chrII	+	711590	712754	1164	1164	1322.0
YBR247C	chrII	-	713003	714455	1452	1452	1785.0
YBR248C	chrII	-	714806	716465	1659	1659	1818.0
YBR249C	chrII	-	716881	717994	1113	1113	1388.0
YBR250W	chrII	+	719032	720604	1572	1572	1822.0
YBR251W	chrII	+	721389	722313	924	924	1119.0
YBR252W	chrII	+	722610	723054	444	444	584.0
YBR253W	chrII	+	723269	723635	366	366	508.0
YBR254C	chrII	-	723735	724263	528	528	670.0
YBR255W	chrII	+	724455	726540	2085	2085	2267.0
YBR255C-A	chrII	-	726617	727074	457	363	479.0
YBR256C	chrII	-	727385	728102	717	717	848.0
YBR257W	chrII	+	728884	729724	840	840	928.0
YBR258C	chrII	-	729733	730162	429	429	679.0
YBR259W	chrII	+	730386	732453	2067	2067	2215.0
YBR260C	chrII	-	732638	734639	2001	2001	2140.0
YBR261C	chrII	-	734831	735530	699	699	893.0
YBR262C	chrII	-	735719	736040	321	321	467.0
YBR263W	chrII	+	736263	737736	1473	1473	1639.0
YBR264C	chrII	-	737769	738369	600	600	648.0
YBR265W	chrII	+	738581	739544	963	963	1142.0
YBR267W	chrII	+	739840	741022	1182	1182	1319.0
YBR266C	chrII	-	739935	740388	453	453	703.0
YBR268W	chrII	+	741298	741616	318	318	474.0
YBR269C	chrII	-	742159	742576	417	417	594.0
YBR270C	chrII	-	742760	744398	1638	1638	1677.0
YBR271W	chrII	+	744851	746111	1260	1260	1453.0
YBR272C	chrII	-	746360	747803	1443	1443	1685.0
YBR273C	chrII	-	748060	749371	1311	1311	1480.0
YBR274W	chrII	+	749593	751177	1584	1584	1838.0
YBR275C	chrII	-	751355	757106	5751	5751	6001.0
YBR276C	chrII	-	757619	760043	2424	2424	2628.0
YBR278W	chrII	+	760293	760899	606	606	727.0
YBR279W	chrII	+	761256	762594	1338	1338	1481.0
YBR280C	chrII	-	762783	764697	1914	1914	2096.0
YBR281C	chrII	-	764969	767606	2637	2637	2788.0
YBR282W	chrII	+	768239	768680	441	441	574.0
YBR283C	chrII	-	768942	770415	1473	1473	1781.0
YBR284W	chrII	+	771238	773632	2394	2394	2644.0
YBR285W	chrII	+	773921	774356	435	435	685.0
YBR286W	chrII	+	774699	776313	1614	1614	1693.0
YBR287W	chrII	+	776570	777854	1284	1284	1500.0
YBR288C	chrII	-	778011	779463	1452	1452	1616.0
YBR289W	chrII	+	779666	782384	2718	2718	2813.0
YBR290W	chrII	+	782590	783556	966	966	1109.0
YBR291C	chrII	-	783672	784572	900	900	1026.0
YBR292C	chrII	-	784701	785073	372	372	622.0
YBR293W	chrII	+	787005	788430	1425	1425	1572.0
YBR294W	chrII	+	789234	791814	2580	2580	2830.0
YBR295W	chrII	+	792848	796499	3651	3651	3845.0
YBR296C	chrII	-	796797	798522	1725	1725	2009.0
YBR296C-A	chrII	-	800122	800242	120	120	370.0
YBR297W	chrII	+	800522	801929	1407	1407	1690.0
YBR298C	chrII	-	802630	804475	1845	1845	2095.0
YBR298C-A	chrII	-	805034	805256	222	222	472.0
