gene	name	cds_len	tx_len	sd_sets	strict
YOL038W	PRE6	765	921	0.375184	False
YLR040C	AFB1	675	930	0.24709	True
YBR164C	ARL1	552	945	0.42787	False
YGL123W	RPS2	765	951	0.362131	False
YLR293C	GSP1	660	952	0.245484	True
YEL051W	VMA8	771	954	0.289594	True
YOR232W	MGE1	687	959	0.492574	False
YGR167W	CLC1	702	984	0.273119	True
YKL007W	CAP1	807	986	0.312319	True
YDR174W	HMO1	741	991	0.344622	True
YLR390W-A	CCW14	717	992	0.384372	False
YER120W	SCS2	735	997	0.499423	False
YHR026W	VMA16	642	998	0.303127	True
YDR007W	TRP1	675	1003	0.415218	False
YJL124C	LSM1	519	1005	0.382014	False
YBR011C	IPP1	864	1007	0.32105	True
YPL131W	RPL5	894	1012	0.417895	False
YOR157C	PUP1	786	1015	0.384798	False
YNL055C	POR1	852	1028	0.396617	False
YPR069C	SPE3	882	1032	0.417243	False
YOR145C	PNO1	825	1032	0.461327	False
YPL237W	SUI3	858	1036	0.277605	True
YLR441C	RPS1A	768	1039	0.368461	False
YLR048W	RPS0B	759	1043	0.337759	True
YBL072C	RPS8A	603	1050	0.400424	False
YER055C	HIS1	894	1052	0.349119	True
YFR052W	RPN12	825	1056	0.391802	False
YPR149W	NCE102	522	1070	0.462897	False
YOR362C	PRE10	867	1075	0.403632	False
YLR192C	HCR1	798	1087	0.329174	True
YER177W	BMH1	804	1094	0.195913	True
YDR233C	RTN1	888	1105	0.354995	False
YLR150W	STM1	822	1111	0.299308	True
YIL076W	SEC28	891	1114	0.305524	True
YNL002C	RLP7	969	1133	0.465126	False
YDL051W	LHP1	828	1139	0.235282	True
YHR133C	NSG1	876	1142	0.305334	True
YCL050C	APA1	966	1142	0.287532	True
YGR192C	TDH3	999	1144	0.433014	False
YER156C	MYG1	1017	1147	0.211738	True
YKL150W	MCR1	909	1159	0.290808	True
YIL041W	GVP36	981	1160	0.333806	True
YPR103W	PRE2	864	1161	0.334976	True
YOR271C	FSF1	984	1162	0.381997	False
YML004C	GLO1	981	1169	0.241822	True
YDL236W	PHO13	939	1182	0.298793	True
YHR025W	THR1	1074	1184	0.333255	True
YBR031W	RPL4A	1089	1198	0.306923	True
YJR007W	SUI2	915	1204	0.27601	True
YPR165W	RHO1	630	1208	0.400618	False
YPL273W	SAM4	978	1210	0.469936	False
YDL100C	GET3	1065	1213	0.352079	False
YMR146C	TIF34	1044	1214	0.451677	False
YKL060C	FBA1	1080	1215	0.363823	False
YER037W	PHM8	966	1216	0.397354	False
YMR241W	YHM2	945	1219	0.481125	False
YDL015C	TSC13	933	1219	0.438282	False
YNL217W	PPN2	981	1222	0.47926	False
YLR100W	ERG27	1044	1224	0.303547	True
YKL120W	OAC1	975	1233	0.42745	False
YNL156C	NSG2	900	1234	0.357279	False
YJR077C	MIR1	936	1237	0.469261	False
YPR110C	RPC40	1008	1238	0.467117	False
YBR159W	IFA38	1044	1251	0.381242	False
YPL117C	IDI1	867	1256	0.385766	False
YBR234C	ARC40	1155	1267	0.266401	True
YMR183C	SSO2	888	1276	0.452019	False
YLR257W		966	1281	0.405407	False
YNL007C	SIS1	1059	1281	0.397612	False
YPL232W	SSO1	873	1284	0.477016	False
YJR139C	HOM6	1080	1290	0.273549	True
YDR353W	TRR1	960	1290	0.254099	True
YGL105W	ARC1	1131	1296	0.329951	True
YDR158W	HOM2	1098	1299	0.346426	True
YJL167W	ERG20	1059	1299	0.323762	True
YKL216W	URA1	945	1304	0.398995	False
YOR063W	RPL3	1164	1304	0.378769	False
YNL231C	PDR16	1056	1315	0.339126	True
YGR060W	ERG25	930	1315	0.319296	True
YGR282C	BGL2	942	1320	0.410588	False
YDR427W	RPN9	1182	1324	0.422161	False
YNL098C	RAS2	969	1325	0.367514	False
YGL148W	ARO2	1131	1341	0.371269	False
YGL001C	ERG26	1050	1344	0.288988	True
YDL014W	NOP1	984	1348	0.383195	False
YGL040C	HEM2	1029	1358	0.397595	False
YML008C	ERG6	1152	1359	0.282299	True
YKR071C	DRE2	1047	1359	0.333933	True
YHR179W	OYE2	1203	1363	0.472453	False
YMR318C	ADH6	1083	1364	0.263778	True
YAL036C	RBG1	1110	1369	0.370446	False
YPL004C	LSP1	1026	1371	0.330224	True
YKL080W	VMA5	1179	1373	0.319005	True
YPR118W	MRI1	1236	1373	0.484031	False
YLR208W	SEC13	894	1378	0.381376	False
YGL048C	RPT6	1218	1380	0.379132	False
YAL042W	ERV46	1248	1381	0.251139	True
YBL030C	PET9	957	1383	0.334429	True
YKR013W	PRY2	990	1389	0.446465	False
YKL172W	EBP2	1284	1402	0.480641	False
YPL028W	ERG10	1197	1407	0.342746	True
YER178W	PDA1	1263	1422	0.440525	False
YOR142W	LSC1	990	1428	0.457638	False
YPR191W	QCR2	1107	1437	0.415139	False
YKR048C	NAP1	1254	1444	0.459142	False
YIR012W	SQT1	1296	1453	0.371414	False
YMR235C	RNA1	1224	1456	0.469191	False
YOR099W	KTR1	1182	1459	0.461838	False
YPR041W	TIF5	1218	1463	0.261736	True
YJL138C	TIF2	1188	1472	0.318659	True
YGR086C	PIL1	1020	1472	0.42736	False
YHR190W	ERG9	1335	1483	0.289072	True
YOR197W	MCA1	1299	1483	0.255045	True
YBR118W	TEF2	1377	1486	0.420548	False
YGR234W	YHB1	1200	1488	0.459099	False
YDR483W	KRE2	1329	1498	0.35289	False
YOR259C	RPT4	1314	1502	0.465361	False
YPL048W	CAM1	1248	1510	0.373739	False
YHR068W	DYS1	1164	1514	0.294412	True
YJL026W	RNR2	1200	1514	0.32854	True
YBR025C	OLA1	1185	1524	0.279041	True
YPR080W	TEF1	1377	1529	0.323503	True
YKR059W	TIF1	1188	1534	0.402293	False
YMR305C	SCW10	1170	1534	0.356263	False
YKL081W	TEF4	1239	1536	0.315681	True
YFL039C	ACT1	1128	1537	0.36976	False
YDR023W	SES1	1389	1544	0.395524	False
YDR372C	VPS74	1038	1557	0.375029	False
YML085C	TUB1	1344	1572	0.497086	False
YFL038C	YPT1	621	1574	0.354567	False
YBR221C	PDB1	1101	1575	0.448753	False
YOR375C	GDH1	1365	1575	0.3156	True
YPR036W	VMA13	1437	1583	0.361744	False
YML048W	GSF2	1212	1586	0.423481	False
YEL040W	UTR2	1404	1592	0.373355	False
YCR005C	CIT2	1383	1595	0.458089	False
YJR065C	ARP3	1350	1597	0.465121	False
YPL154C	PEP4	1218	1604	0.421104	False
YEL037C	RAD23	1197	1604	0.477855	False
YDL084W	SUB2	1341	1610	0.305597	True
YKL181W	PRS1	1284	1615	0.222347	True
YKL077W	PSG1	1179	1616	0.419401	False
YFR044C	DUG1	1446	1638	0.439679	False
YPR108W	RPN7	1290	1646	0.475059	False
YKL145W	RPT1	1404	1646	0.353727	False
YMR220W	ERG8	1356	1649	0.407611	False
YOR230W	WTM1	1314	1650	0.456334	False
YER043C	SAH1	1350	1652	0.310202	True
YMR243C	ZRC1	1329	1656	0.261264	True
YOR209C	NPT1	1290	1659	0.217611	True
YBR143C	SUP45	1314	1661	0.399269	False
YDR190C	RVB1	1392	1662	0.49504	False
YFL018C	LPD1	1500	1666	0.35908	False
YIL142W	CCT2	1584	1673	0.469673	False
YFL022C	FRS2	1512	1673	0.448763	False
YER130C	COM2	1332	1681	0.431402	False
YPL262W	FUM1	1467	1690	0.413982	False
YLR300W	EXG1	1347	1692	0.328949	True
YAL038W	CDC19	1503	1694	0.367593	False
YCR053W	THR4	1545	1696	0.253242	True
YER006W	NUG1	1563	1696	0.439929	False
YGL253W	HXK2	1461	1700	0.489953	False
YHR183W	GND1	1470	1700	0.253002	True
YCL043C	PDI1	1569	1702	0.309496	True
YLR175W	CBF5	1452	1707	0.388611	False
YOL061W	PRS5	1491	1710	0.419992	False
YGR155W	CYS4	1524	1716	0.368027	False
YGR189C	CRH1	1524	1721	0.397596	False
YBR126C	TPS1	1488	1726	0.427029	False
YMR217W	GUA1	1578	1753	0.324411	True
YMR131C	RRB1	1536	1755	0.352486	False
YLR197W	NOP56	1515	1757	0.429557	False
YER021W	RPN3	1572	1758	0.443071	False
YGR211W	ZPR1	1461	1762	0.434595	False
YGL202W	ARO8	1503	1763	0.280339	True
YBR101C	FES1	873	1768	0.473552	False
YKL035W	UGP1	1500	1772	0.427411	False
YBR283C	SSH1	1473	1781	0.387158	False
YGR175C	ERG1	1491	1783	0.304434	True
YPR088C	SRP54	1626	1784	0.341909	True
YHR064C	SSZ1	1617	1785	0.353905	False
YML056C	IMD4	1575	1789	0.380517	False
YPR033C	HTS1	1641	1791	0.364951	False
YOR310C	NOP58	1536	1794	0.43274	False
YBR127C	VMA2	1554	1800	0.208836	True
YDR212W	TCP1	1680	1828	0.430025	False
YGL078C	DBP3	1572	1844	0.461899	False
YHR019C	DED81	1665	1848	0.385535	False
YLR378C	SEC61	1443	1849	0.340256	True
YBL045C	COR1	1374	1863	0.45023	False
YBR196C	PGI1	1665	1871	0.350685	False
YDR188W	CCT6	1641	1876	0.419715	False
YNL241C	ZWF1	1518	1885	0.450275	False
YER025W	GCD11	1584	1889	0.332049	True
YDR037W	KRS1	1776	1896	0.45549	False
YJR016C	ILV3	1758	1936	0.392772	False
YDR497C	ITR1	1755	1940	0.376404	False
YMR307W	GAS1	1680	1942	0.421445	False
YER036C	ARB1	1833	1969	0.445124	False
YDR101C	ARX1	1782	1973	0.401764	False
YDL229W	SSB1	1842	1978	0.304667	True
YER086W	ILV1	1731	1979	0.422448	False
YNL209W	SSB2	1842	1984	0.19772	True
YDR346C	SVF1	1446	1984	0.406363	False
YHR007C	ERG11	1593	2016	0.480493	False
YGR103W	NOP7	1818	2021	0.451514	False
YNL061W	NOP2	1857	2047	0.488163	False
YJR121W	ATP2	1536	2074	0.357667	False
YNL189W	SRP1	1629	2081	0.396235	False
YBR068C	BAP2	1830	2119	0.499658	False
YDR129C	SAC6	1929	2135	0.333532	True
YNL104C	LEU4	1860	2154	0.445589	False
YDL070W	BDF2	1917	2204	0.311101	True
YDR496C	PUF6	1971	2252	0.458717	False
YBL099W	ATP1	1638	2255	0.446913	False
YJL012C	VTC4	2166	2266	0.295061	True
YLR120C	YPS1	1710	2277	0.48027	False
YPR074C	TKL1	2043	2277	0.254066	True
YPL106C	SSE1	2082	2292	0.467313	False
YHR020W		2067	2296	0.280779	True
YDR172W	SUP35	2058	2307	0.398449	False
YJL034W	KAR2	2049	2324	0.36069	False
YIL078W	THS1	2205	2336	0.451974	False
YGL022W	STT3	2157	2409	0.392474	False
YNL247W	CRS1	2304	2444	0.415376	False
YMR108W	ILV2	2064	2516	0.405378	False
YOR168W	GLN4	2430	2541	0.320441	True
YGR264C	MES1	2256	2542	0.411505	False
YJR143C	PMT4	2289	2554	0.358077	False
YAL053W	FLC2	2352	2555	0.388336	False
YKL054C	DEF1	2217	2567	0.413883	False
YGL009C	LEU1	2340	2576	0.297238	True
YKL104C	GFA1	2154	2590	0.359459	False
YPR181C	SEC23	2307	2694	0.389436	False
YDR385W	EFT2	2529	2798	0.255234	True
YOR270C	VPH1	2523	2821	0.297387	True
YGR204W	ADE3	2841	2998	0.42731	False
YBR079C	RPG1	2895	3009	0.415771	False
YIL109C	SEC24	2781	3067	0.294597	True
YAL035W	FUN12	3009	3155	0.444639	False
YOR335C	ALA1	2877	3229	0.189616	True
YMR205C	PFK2	2880	3320	0.468208	False
YLR249W	YEF3	3135	3345	0.413734	False
YBL076C	ILS1	3219	3361	0.395034	False
YGR162W	TIF4631	2859	3362	0.4396	False
YDL185W	VMA1	3216	3465	0.346009	True
YPL160W	CDC60	3273	3511	0.360847	False
YML075C	HMG1	3165	3529	0.460792	False
YNL192W	CHS1	3396	3629	0.279024	True
YJL080C	SCP160	3669	4031	0.24625	True
YNR016C	ACC1	6702	7346	0.491083	False
